2025-02-15 16:52:01 status half-installed dirmngr:i386 2.2.12-1+deb10u2
2025-02-15 16:52:01 status unpacked dirmngr:i386 2.2.12-1+deb10u2
2025-02-15 16:52:01 install libfakeroot:i386 <none> 1.23-1
2025-02-15 16:52:01 status half-installed libfakeroot:i386 1.23-1
2025-02-15 16:52:01 status unpacked libfakeroot:i386 1.23-1
2025-02-15 16:52:01 install fakeroot:i386 <none> 1.23-1
2025-02-15 16:52:01 status half-installed fakeroot:i386 1.23-1
2025-02-15 16:52:01 status unpacked fakeroot:i386 1.23-1
2025-02-15 16:52:01 install libglib2.0-0:i386 <none> 2.58.3-2+deb10u6
2025-02-15 16:52:01 status half-installed libglib2.0-0:i386 2.58.3-2+deb10u6
2025-02-15 16:52:01 status unpacked libglib2.0-0:i386 2.58.3-2+deb10u6
2025-02-15 16:52:01 install libgirepository-1.0-1:i386 <none> 1.58.3-2
2025-02-15 16:52:01 status half-installed libgirepository-1.0-1:i386 1.58.3-2
2025-02-15 16:52:01 status unpacked libgirepository-1.0-1:i386 1.58.3-2
2025-02-15 16:52:01 install gir1.2-glib-2.0:i386 <none> 1.58.3-2
2025-02-15 16:52:01 status half-installed gir1.2-glib-2.0:i386 1.58.3-2
2025-02-15 16:52:01 status unpacked gir1.2-glib-2.0:i386 1.58.3-2
2025-02-15 16:52:01 install gnupg-l10n:all <none> 2.2.12-1+deb10u2
2025-02-15 16:52:01 status half-installed gnupg-l10n:all 2.2.12-1+deb10u2
2025-02-15 16:52:01 status unpacked gnupg-l10n:all 2.2.12-1+deb10u2
2025-02-15 16:52:01 install gnupg-utils:i386 <none> 2.2.12-1+deb10u2
2025-02-15 16:52:01 status half-installed gnupg-utils:i386 2.2.12-1+deb10u2
2025-02-15 16:52:01 status unpacked gnupg-utils:i386 2.2.12-1+deb10u2
2025-02-15 16:52:01 install gpg:i386 <none> 2.2.12-1+deb10u2
2025-02-15 16:52:01 status half-installed gpg:i386 2.2.12-1+deb10u2
2025-02-15 16:52:01 status unpacked gpg:i386 2.2.12-1+deb10u2
2025-02-15 16:52:01 install pinentry-curses:i386 <none> 1.1.0-2
2025-02-15 16:52:01 status half-installed pinentry-curses:i386 1.1.0-2
2025-02-15 16:52:01 status unpacked pinentry-curses:i386 1.1.0-2
2025-02-15 16:52:01 install gpg-agent:i386 <none> 2.2.12-1+deb10u2
2025-02-15 16:52:01 status half-installed gpg-agent:i386 2.2.12-1+deb10u2
2025-02-15 16:52:01 status unpacked gpg-agent:i386 2.2.12-1+deb10u2
2025-02-15 16:52:01 install gpg-wks-client:i386 <none> 2.2.12-1+deb10u2
2025-02-15 16:52:01 status half-installed gpg-wks-client:i386 2.2.12-1+deb10u2
2025-02-15 16:52:01 status unpacked gpg-wks-client:i386 2.2.12-1+deb10u2
2025-02-15 16:52:02 install gpg-wks-server:i386 <none> 2.2.12-1+deb10u2
2025-02-15 16:52:02 status half-installed gpg-wks-server:i386 2.2.12-1+deb10u2
2025-02-15 16:52:02 status unpacked gpg-wks-server:i386 2.2.12-1+deb10u2
2025-02-15 16:52:02 install gpgsm:i386 <none> 2.2.12-1+deb10u2
2025-02-15 16:52:02 status half-installed gpgsm:i386 2.2.12-1+deb10u2
2025-02-15 16:52:02 status unpacked gpgsm:i386 2.2.12-1+deb10u2
2025-02-15 16:52:02 install gnupg:all <none> 2.2.12-1+deb10u2
2025-02-15 16:52:02 status half-installed gnupg:all 2.2.12-1+deb10u2
2025-02-15 16:52:02 status unpacked gnupg:all 2.2.12-1+deb10u2
2025-02-15 16:52:02 install libalgorithm-diff-perl:all <none> 1.19.03-2
2025-02-15 16:52:02 status half-installed libalgorithm-diff-perl:all 1.19.03-2
2025-02-15 16:52:02 status unpacked libalgorithm-diff-perl:all 1.19.03-2
2025-02-15 16:52:02 install libalgorithm-diff-xs-perl:i386 <none> 0.04-5+b1
2025-02-15 16:52:02 status half-installed libalgorithm-diff-xs-perl:i386 0.04-5+b1
2025-02-15 16:52:02 status unpacked libalgorithm-diff-xs-perl:i386 0.04-5+b1
2025-02-15 16:52:02 install libalgorithm-merge-perl:all <none> 0.08-3
2025-02-15 16:52:02 status half-installed libalgorithm-merge-perl:all 0.08-3
2025-02-15 16:52:02 status unpacked libalgorithm-merge-perl:all 0.08-3
2025-02-15 16:52:02 install libexpat1-dev:i386 <none> 2.2.6-2+deb10u7
2025-02-15 16:52:02 status half-installed libexpat1-dev:i386 2.2.6-2+deb10u7
2025-02-15 16:52:02 status unpacked libexpat1-dev:i386 2.2.6-2+deb10u7
